#;Gemeinde;Bezirk / Statutarstadt;Einwohner 2013;Anlagen;Leistung [kW];[Watt/EW]
465;Traisen;Lilienfeld;3.531;31; 196,86 ;55,75
466;Traiskirchen;Baden;17.737;93; 519,84 ;29,31
467;Traismauer;St. Pölten-Land;5.847;81; 459,14 ;78,53
468;Traunstein;Zwettl;1.063;34; 242,31 ;227,95
469;Trautmannsdorf an der Leitha;Bruck;2.780;36; 202,78 ;72,94
470;Trumau;Baden;3.475;17; 93,89 ;27,02
471;Tulbing;Tulln;2.890;42; 202,42 ;70,04
472;Tulln an der Donau;Tulln;15.429;109; 1.341,11 ;86,92
473;Tullnerbach;Wien Umgebung;2.731;16; 76,07 ;27,85
474;Türnitz;Lilienfeld;1.884;31; 164,15 ;87,13
475;Ulrichskirchen-Schleinbach;Mistelbach;2.560;35; 157,17 ;61,39
476;Unserfrau-Altweitra;Gmünd;1.003;11; 66,36 ;66,16
477;Untersiebenbrunn;Gänserndorf;1.440;8; 42,50 ;29,51
478;Unterstinkenbrunn;Mistelbach;566;18; 69,16 ;122,19
479;Velm-Götzendorf;Gänserndorf;757;9; 45,36 ;59,92
480;Viehdorf;Amstetten;1.322;45; 457,90 ;346,37
481;Vitis;Waidhofen a.d. Thaya;2.635;73; 556,25 ;211,1
482;Vösendorf;Mödling;6.512;24; 123,78 ;19,01
483;Waidhofen an der Thaya;Waidhofen a.d. Thaya;5.637;88; 598,88 ;106,24
484;Waidhofen an der Thaya-Land;Waidhofen a.d. Thaya;1.197;33; 171,00 ;142,86
485;Waidhofen an der Ybbs;Waidhofen a.d. Ybbs;11.425 ;118; 887,70 ;77,7
486;Waidmannsfeld;Wr. Neustadt-Land;1.593;15; 68,62 ;43,08
487;Waldegg;Wr. Neustadt-Land;2.001;21; 105,94 ;52,94
488;Waldenstein;Gmünd;1.201;23; 144,84 ;120,6
489;Waldhausen;Zwettl;1.261;16; 82,48 ;65,41
490;Waldkirchen an der Thaya;Waidhofen a.d. Thaya;554;11; 135,68 ;244,91
